Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,C_0603,
CARD1,TF-SMD_TF-115,1,TF-115,C266620
D1,SOT-23-6,1,USBLC6-2SC6,
FPC1,FPC-SMD_30P-P0.50_FPC-05FB-30PH20,1,FPC-05FB-30PH20,C2856833
H1,HDR-TH_16P-P2.54-H-M-R2-C8-S2.54,1,PZ254R-12-16P,C492436
L1,0805,1,600 Ohm,
"R1, R2",0603,2,R_0603,
"R10, R11, R12, R3, R4, R5, R8, R9",0603,8,10k,
"R13, R14",0603,2,10R,
R6,0603,1,300R,
R7,0603,1,6.8k,
U1,USB-C-SMD_HANBO_MC-121-L119,1,MC-121-L119,C6332278
U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,1,MT9700-N,C42441843
