Designator,Mid X,Mid Y,Rotation,Layer
C1,17.5,10.225,270.0,top
C2,21.0,20.5,180.0,top
C3,24.0,22.275,90.0,top
CARD1,20.5,30.5,180.0,top
D1,2.5,10.0,90.0,top
FPC1,10.75,15.62,180.0,top
H1,10.56,5.27,0.0,top
L1,21.0,22.5,180.0,top
R1,7.825,27.0,0.0,top
R10,12.5,22.5,0.0,top
R11,9.0,24.5,0.0,top
R12,9.0,20.5,0.0,top
R13,7.5,10.0,90.0,top
R14,9.5,10.175,90.0,top
R2,3.0,27.0,180.0,top
R3,3.5,21.5,270.0,top
R4,1.5,21.5,270.0,top
R5,5.5,21.5,270.0,top
R6,12.5,20.5,180.0,top
R7,19.5,10.0,270.0,top
R8,5.5,10.0,270.0,top
R9,9.0,22.5,0.0,top
U1,6.0,31.5,180.0,top
U2,14.5,10.0,90.0,top
